,0
C1DTB3,68.0
A0A1H9WT20,28.0
B0KAA8,65.0
A0A6I4TLC6,30.0
A0A2C8FAW9,30.0
A0A917L2P1,27.0
A0A919JIQ5,27.0
D9RY21,67.0
A0A1I2XAP2,30.0
A0A6A9QGZ1,88.0
F2NLY3,70.0
A0A1H7PBK5,30.0
F2KRV4,75.0
A0A1W1X5I4,60.0
A0A859QQ30,28.0
V4QN80,30.0
A0A1M4TU98,60.0
A0A1G7LRZ3,28.0
A0A1S7FRM8,30.0
A0A556B016,30.0
A0A7K3QF88,27.0
A0A0A2T4N5,30.0
C1DVM2,68.0
A0A1G7YY40,75.0
A0A4Q7UVC6,28.0
A0A2T5IKA4,27.0
A0A6A9QEM8,88.0
A0A561WAQ1,28.0
A0A7W7AK41,27.0
A0A5M4FJT7,28.0
A0A7W5CVF7,30.0
A0A4R6RI94,27.0
A0A1L8CRN9,65.0
D9S3F3,67.0
A0A2K8K9M9,28.0
F2NK45,70.0
A0A2C8FE81,30.0
A0A1X3HER6,30.0
E4SEP8,70.0
A0A1J6WK64,30.0
A0A1G7YWI3,75.0
D9S2U9,67.0
A0A316IHT5,28.0
A0A7X5UZM1,30.0
A0A556ASB0,30.0
A0A1W1XU52,60.0
A0A561TC79,28.0
A0A511ZA59,30.0
A0A1I3BV94,20.0
D9S0V7,67.0
E4SI01,70.0
A0A1W1XLF9,60.0
A0A1I7K356,28.0
A0A1W1XGN1,60.0
A0A1M7GQ65,30.0
Q9X1V6,75.0
F2KS76,75.0
A0A1H7XXZ6,30.0
A0A840APF9,25.0
C7P6L2,85.0
A0A1G8CPI2,75.0
A0A1W1XM85,60.0
A0A1M4W0D8,60.0
C7P909,85.0
A0A6A9QI55,88.0
A0A1E5P077,27.0
A0A1I1J2I7,30.0
A0A6A9QKK9,88.0
A0A090TPK6,28.0
A0A1M4WZS7,60.0
E4U7T3,60.0
A0A6S6M298,30.0
C1DU96,68.0
A0A347UTI3,28.0
A0A0A2UYH1,30.0
A0A2U3AM68,27.0
A0A177E5C4,65.0
A0A1C4WJQ9,28.0
A0A6A9QGP6,88.0
A0A239K2R1,29.0
A0A1M5B565,60.0
A0A3N2BFA3,30.0
A0A561WMI2,28.0
A0A975FB77,26.0
F2RBA2,27.0
A0A6H9YB52,28.0
A0A4R7JIR6,28.0
A0A918I4M3,28.0
A0A1I1TGC7,29.0
A0A090TC54,28.0
A0A7W5FCN9,28.0
A0A086BJS0,29.0
A0A1W1XVS7,60.0
A0A917KWQ4,27.0
A0A3G5F326,29.0
A0A1S9GBZ3,30.0
A0A0S7E633,29.0
A0A090SZ69,28.0
A0A0M8M9H3,27.0
A0A1W1XH56,60.0
A0A7U9Q0I4,26.5
C1DUF1,68.0
A0A8J6YHL1,28.0
A0A557PD73,28.0
A0A512L8E7,30.0
A0A1M5AFW2,60.0
A0A7Y9G7F0,27.0
A0A1M4W6R6,60.0
A0A1X7HJL0,30.0
A0A1I2U4G1,27.0
A0A8J7CDD1,28.0
A0A327ZBH1,28.0
A0A511CVN2,29.0
A0A841DWE7,29.0
A0A1G6ESU1,30.0
A0A1S6JFJ1,27.0
A0A1G7Y653,21.0
A0A4Q7CR92,30.0
E4U5K7,60.0
Q9X0X2,75.0
A0A6P0UBT1,28.0
A0A0T9UEY1,29.0
F2KPY5,75.0
A0A1G7G6Z1,30.0
A0A1W1XKC2,60.0
A0A0N8GPK5,27.0
A0A1Y6HMF1,28.0
F2KMR5,75.0
C1DW77,68.0
F2KNB3,75.0
A0A6A9QB89,88.0
A0A7W9FJJ1,26.0
D9S153,67.0
A0A1W1XW15,60.0
A0A1I5BF37,28.5
F2NMX3,70.0
C7P8U1,85.0
E4SFC1,70.0
A0A1H2ZKD3,28.0
A0A1M4SGF6,60.0
A0A1M5AAA4,60.0
A0A315SFF3,29.0
A0A4R7JXE8,28.0
A0A117P0G0,27.0
A0A1M4TG37,60.0
Q56148,27.0
A0A1W1WXM4,60.0
A0A1I4A6A6,17.0
A0A6G4WCR5,30.0
C7P6S5,85.0
A0A1H9MH28,30.0
A0A1L8CXB1,65.0
A0A7X5ZXA4,30.0
A0A066TNY9,27.0
A0A1N6WRG7,30.0
A0A975F7S3,26.0
A0A1W1X6N6,60.0
A0A3A5JUH8,29.0
A0A6A9QJ91,88.0
A0A8B4QU49,29.0
F2KPH0,75.0
A0A1S9GUW0,30.0
A0A840EPS8,29.0
A0A256GJE7,30.0
A0A1H2JPB1,28.0
F2KSA6,75.0
A0A177E5Q3,65.0
A0A1N6Y1X7,30.0
A0A5B8V9N5,28.0
K8EDE1,30.0
A0A177E7P5,65.0
A0A7W5AG06,28.0
C1DXR0,68.0
D5DVQ3,30.0
A0A177E9Q8,65.0
E4U767,60.0
A0A1Q8SW97,28.0
A0A3M9XQU1,26.0
A0A2K4X8E9,21.0
D3FBQ8,29.0
A0A511Z8I4,30.0
A0A1G6B2E3,30.0
A0A1H7E711,30.0
A0A177E683,65.0
G7ZF30,30.0
A0A923HUX5,20.0
A0A1X7EK36,30.0
A0A6A9QF34,88.0
A0A1M4SRL6,60.0
A0A317NEE5,29.0
A0A4Y4CUS7,27.0
F2KPE1,75.0
A0A1L8CX99,65.0
A0A1R0KWM9,28.0
A0A1M7GKL9,28.0
A0A0D2IXR9,30.0
A0A085YY34,28.0
C7P7V1,85.0
G7Z3W2,30.0
A0A561SVL6,28.0
A0A1M4TGK1,60.0
A0A0N8GRA2,27.0
A0A918EI83,27.33333396911621
A0A1M5Q7N5,28.0
A0A839Z647,29.0
S5T152,25.0
A0A177E9H8,65.0
A0A2C8F5R9,30.0
D9S3S1,67.0
A0A2V5M069,16.0
A0A7H0GBM6,30.0
A0A1M4V8I7,60.0
A0A143HDL4,30.0
A0A4Y9ADM4,30.0
Q9X2H7,75.0
A0A1G6ERH7,30.0
E4SCC5,70.0
A0A1W1XNI1,60.0
A0A975IHD7,26.0
A0A1W1XTS3,60.0
F2R682,27.0
E4SGT2,70.0
F2KML0,75.0
A0A1I5L7F6,28.0
A0A2P8HL08,30.0
C1DWF4,68.0
D3FBV7,29.0
A0A6G7EIX0,29.0
A0A4R6TS04,28.0
A0A918MB94,28.0
A0A256G6Y2,30.0
A0A6A9QK49,88.0
A0A561SPU4,28.0
A0A2V5L3H8,16.0
F2KN41,75.0
E4U713,60.0
G7ZAP2,30.0
V4PSF8,30.0
A0A1H8E6W3,30.0
A0A2S8S6D5,29.0
D9S199,67.0
A0A8J7MDY7,21.0
A0A543GFM4,28.0
C7P8B5,85.0
A0A0D6NML9,30.0
F4GK11,30.0
A0A7W4ZW43,26.5
A0A0F4J0V0,27.0
A0A6A9QFQ9,88.0
A0A2R5F387,30.0
A0A5D4T1W0,30.0
A0A1H5A3V2,29.0
A0A1Y0IF20,27.0
A0A1W1XUS9,60.0
A0A2N9JD29,30.0
A0A1G7DAD7,29.0
Q9WY53,75.0
C1DU57,68.0
A0A7W7SPJ3,28.0
A0A318RRP0,28.0
A0A511DA45,29.0
C1DXF6,68.0
A0A542EAT5,29.0
A0A1X3FYZ5,30.0
A0A4Y8Z2V8,28.0
D9S2W9,67.0
A0A1I5R475,28.0
A0A1M5HVD4,28.0
C7P7V7,85.0
A0A0U4YKN8,27.0
A0A8I0H5X8,27.0
A0A7X6NCL2,26.0
A0A0F5VEG5,28.0
C1DVT0,68.0
A0A4S3KNL8,25.0
A0A1I3AV82,30.0
F2NMD8,70.0
F9UE44,26.0
A0A1W1XIA9,60.0
A0A1U7CYQ0,28.0
D9S378,67.0
A0A7X6N670,26.0
A0A8I0H5D7,27.0
A0A1I2KWD8,27.0
A0A256GR04,28.0
A0A7W9CUX4,26.0
A0A1G8DAQ8,21.0
A0A1W1XUK3,60.0
A0A2V5LHN1,16.0
D9RZV0,67.0
A0A0F4JJ86,27.0
I3Z5H6,28.0
A0A1I3ZAV3,17.0
A0A1H3ANP9,28.0
F2NLE4,70.0
A0A1L8CUJ2,65.0
A0A919W3Z0,28.0
Q9X1W0,75.0
A0A543FW68,28.0
Q07YY5,21.0
L0HHN1,30.0
A0A1G8CHP3,75.0
A0A1G8BK21,21.0
A0A1I4EDT8,17.0
F2F443,28.5
A0A1W1X0C7,60.0
F2NN06,70.0
A0A975F9H6,26.0
Q9X1Z8,75.0
F2KRA6,75.0
A0A1H8CRM5,28.0
A0A7W7LZY3,26.5
A0A921MDY5,28.0
B0KC75,65.0
A0A1L8CX54,65.0
A0A1L8CU77,65.0
F2KQI8,75.0
A0A177E7Y3,65.0
A0A1H8DFB0,28.0
A0A1W1XKM5,60.0
S5ST98,25.0
A0A0R1QCX5,30.0
A0A1M4X0G4,60.0
F2NNG0,70.0
A0A177E9C3,65.0
A0A807AW82,27.0
E4UAS3,60.0
A0A7X6N492,26.0
A0A1L8CVJ8,65.0
A0A3N2CRY0,27.0
A0A1L8CS70,65.0
A0A3G7UG05,29.0
A0A6A9QLP5,88.0
A0A387FN60,28.0
A0A3N2BCL4,30.0
A0A6I4TPP8,30.0
A0A7W7SUZ2,28.0
A0A1I7JE82,28.0
A0A317N457,29.0
D9RYD9,67.0
A0A561R1U8,28.0
A0A7W3TD42,28.0
A0A7K3S7S7,27.0
D9S142,67.0
A0A495VS99,28.0
A0A1X7HTU3,30.0
E4SBD5,70.0
A0A918I800,28.0
A0A1W1XW32,60.0
A0A7W5EZ12,26.5
A0A859QSM1,28.0
A0A6H9YW44,28.0
L0HI44,30.0
C1DVE9,68.0
A0A1M5DIG8,27.5
A0A7Z0BBB9,28.0
A0A1H8GEF1,28.0
A0A1N6WLZ1,28.0
A0A1L8CXB5,65.0
F2KQ44,75.0
A0A1M5A431,60.0
A0A6A9QE63,88.0
A0A1X7H930,30.0
A0A1H3U810,28.0
D2QHU5,26.0
A0A7K3QBE2,27.0
A0A8H2LD37,22.0
A0A1R0L3N3,28.0
A0A1I5SN34,28.0
A0A3D9CYS8,30.0
A0A3N2CUX8,27.0
F2KN42,75.0
A0A368ZGP5,25.0
A0A1N6PSU9,28.0
A0A918N3D6,28.0
A0A0G2ZZV5,28.0
A0A0H4QIC9,30.0
A0A4P7UHF8,28.0
A0A6G4AGX6,28.0
A0A1W1X230,60.0
A0A921SP98,28.0
A0A511T182,28.0
A0A1M4SGC4,60.0
C7P7Q0,85.0
A0A177E7S1,65.0
A0A1M5F167,25.0
A0A177E9H1,65.0
A0A1C4Z938,27.0
A0A4Q7V4Q3,28.0
A0A4Y4D0Z4,27.0
A0A7X0JWD6,25.0
A0A1W1XP43,60.0
A0A1M7HLS9,30.0
A0A1M7ZTP7,30.0
A0A1W1X8D4,60.0
A0A1M6S0Y3,30.0
A0A085GAZ4,30.0
A0A252A3L1,30.0
A0A0A0NL03,27.0
E4U8V3,60.0
A0A1L8CV32,65.0
C1DUX0,68.0
A0A0U5F648,30.0
F2NMS3,70.0
A0A5B8V3V8,28.0
A0A840ZH96,27.5
A0A512MA13,30.0
A0A841DFX8,29.0
A0A1I2AGZ1,30.0
A0A0D2HQD9,30.0
C7P6X1,85.0
A0A8I1K849,27.0
A0A6A9QIH7,88.0
A0A327Z6Q8,28.0
C7P7B1,85.0
A0A1H9YQJ1,28.0
F2KP60,75.0
A0A557PB19,28.0
D5DUA3,30.0
A0A1H8T4F2,28.0
A0A098FX32,27.0
A0A919W4N6,28.0
A0A918MED2,28.0
A0A4S5E675,20.0
A0A8J6YKV2,28.0
Q9X1G4,75.0
A0A1W1XF76,60.0
A0A177E5P5,65.0
A0A1L8CWP7,65.0
F2KQZ2,75.0
A0A256GP05,30.0
F2NPR3,70.0
A0A0P9EME4,30.0
A0A1X1D245,28.0
A0A1G8EGM1,75.0
A0A1M4XNP3,60.0
A0A1G7GCC7,30.0
A0A1H2UG09,28.0
F2KSZ0,75.0
A0A085GMQ9,30.0
A0A4Y4ASP9,22.5
A0A3D9CWZ3,30.0
A0A1S6RAL3,26.5
A0A1W1XA43,60.0
A0A1I2H944,30.0
A0A085G5X1,30.0
A0A1L8CYH3,65.0
A0A0S2G949,30.0
A0A177E7B4,65.0
A0A3D9BTW9,29.0
A0A1L0ARK5,13.5
F2KPR0,75.0
A0A064CM64,29.0
A0A1M5APZ5,60.0
A0A1L8CSQ7,65.0
A0A256GMJ4,28.0
A0A1W1XHE6,60.0
C1DV76,68.0
A0A7U2LBF5,27.0
F2KT31,75.0
A0A0R2ZGN1,29.0
C1DX12,68.0
F2NNL5,70.0
A0A7H0G989,30.0
A0A0A2VFB0,30.0
A0A4V6Q6P2,28.0
A0A0R2G1M4,30.0
A0A427U295,20.0
D5DSX8,30.0
A0A1W1XWR2,60.0
A0A1H5X0H7,20.0
C1DU42,68.0
A0A2T3ISG6,28.0
A0A4Q1VFE3,28.0
F2KT68,75.0
A0A1W1XST7,60.0
A0A177E8W5,65.0
A0A1L8CXJ8,65.0
A0A401J8M0,29.0
Q9WZ70,75.0
A0A557PEH0,28.0
B0K8G7,65.0
A0A1R1EJ75,30.0
A0A1I0F025,28.0
F2KN03,75.0
A0A066TZF8,27.0
A0A1M4XKS6,60.0
A0A3N1XG65,30.0
A0A347UVF9,28.0
B0K985,65.0
A0A1W1X352,60.0
A0A4R3LZL0,30.0
F2KR46,75.0
F2KMG1,75.0
A0A1W1WXG9,60.0
C7P827,85.0
A0A077M1Y9,28.0
A0A4R6ZDU4,27.0
A0A286H2F6,29.0
A0A1R1EJI2,30.0
A0A1I7J2S9,28.0
A0A250VVB0,26.66666603088379
A0A2R4BNH5,30.0
A0A1J4N8W9,27.0
A0A543GIC4,28.0
D9S3H5,67.0
A0A6H9YDY5,28.0
A0A556ATR8,30.0
A0A1L8CWF8,65.0
F2NNU5,70.0
A0A8G2FH76,30.0
A0A1G7Y0F2,25.0
A0A090IB87,13.5
A0A1M4YN96,27.5
A0A0P9K344,27.0
A0A2S8SA66,29.0
A0A1G8SS71,30.0
A0A917KAI4,27.0
A0A919W7V1,28.0
A0A256G9P5,28.0
A0A561R3P0,28.0
B0KDA5,65.0
A0A1H9NNT6,30.0
F2NKC9,70.0
A0A177E9V6,65.0
A0A1M4ZI37,60.0
A0A327ZG74,28.0
A0A1R0KPA2,28.0
A0A1W1XPE0,60.0
D9S3D2,67.0
F2KMR2,75.0
A0A1H8PHH0,30.0
A0A1X6ZDL2,25.0
G7GV22,30.0
F2KQ47,75.0
A0A510UZ41,29.0
A0A0D0Q9J6,30.0
A0A1H8QG31,28.0
I3Z8D5,28.0
A0A561VSJ5,28.0
A0A8J7MC09,21.0
A0A117QGM3,27.0
F2KTB1,75.0
D9S2Y8,67.0
Q9X088,75.0
A0A1H2IN01,28.0
A0A1M5HTZ3,28.0
A0A6A9QIH1,88.0
A0A1M7ZU31,30.0
A0A1G8D9I4,75.0
K8EIQ1,30.0
A0A1H7Q4W9,30.0
A0A1G8E315,75.0
C1DU37,68.0
A0A347USS3,28.0
A0A1L8CW03,65.0
A0A0R1RHU0,30.0
A0A7W9W8W9,30.0
A0A318D7A6,29.0
A0A1G6IDN7,28.0
A0A318RL13,28.0
A0A3G7U0G2,29.0
A0A1G8CJD9,75.0
A0A1H8WR99,28.0
D9RZB7,67.0
A0A1L8CVL3,65.0
A0A1I1IMH7,30.0
C1DUL2,68.0
A0A7W7LTN4,26.5
A0A7U9KX49,26.5
A0A1H3LZ95,28.0
A0A1H4H4H2,13.0
A0A316EJC1,30.0
A0A0A2UQ31,30.0
A0A0R1R620,30.0
E4U5D4,60.0
F2NN57,70.0
A0A918AIY2,27.33333396911621
A0A919JKI9,27.0
A0A090IAF4,13.5
A0A6A9QIF0,88.0
A0A1W1XWB6,60.0
A0A0F5VCS6,28.0
A0A7R7FTY4,30.0
E4U5T2,60.0
A0A1G7ZBY9,75.0
F2NM97,70.0
A0A149Q6H2,27.0
C7P6K1,85.0
A0A7I7QHH4,29.0
D2QF65,26.0
F2NQ18,70.0
E4U811,60.0
A0A090T386,28.0
A0A8G2F9X1,30.0
A0A1X3FWW9,30.0
A0A1H1CLN2,30.0
A0A1N6SVB7,28.0
A0A1C4YTI8,28.0
A0A323V1N8,29.0
A0A177E530,65.0
A0A1H3XF62,30.0
A0A0R2FVW7,30.0
A0A177E8C7,65.0
A0A1W1XY54,60.0
A0A7W6LDH0,30.0
A0A561VRP9,28.0
A0A7K3QAG8,27.0
A0A7W7AJM7,27.0
A0A1W1XIU6,60.0
A0A1M5ISI1,28.0
A0A5D4T142,30.0
A0A6G4WIP9,30.0
A0A6A9QI37,88.0
V4QDA7,30.0
A0A1W1XPX2,60.0
A0A7W7WSB6,28.0
A0A8I0L713,27.0
A0A5D4T9P5,30.0
A0A177E920,65.0
A0A512MB54,30.0
I3CJM2,29.0
A0A7G5Z911,28.0
A0A1J6WTP7,30.0
C7P8F3,85.0
A0A085ZAY7,28.0
A0A1M6ZLI7,30.0
A0A1G6ZYF9,30.0
A0A839RUP9,29.0
F2KR26,75.0
A0A1S6RYC5,26.5
F2KPM4,75.0
M3FNG3,28.0
E4U669,60.0
A0A177E7L6,65.0
A0A4R1HV79,28.0
A0A561TA46,28.0
A0A8H2LB02,22.0
A0A7W4ZW88,26.5
A0A1H7MRU9,29.0
A0A317N6F0,29.0
F2NMH7,70.0
F2KMW2,75.0
D9RYY1,67.0
A0A1L8CY89,65.0
A0A6A9QBZ2,88.0
A0A0A0NTM8,27.0
A0A1R0L1H4,28.0
A0A975FBA8,26.0
D9RXS6,67.0
A0A1G9HHS4,30.0
A0A1I3KHF8,20.0
A0A6A9QF30,88.0
C1DUR1,68.0
A0A7W6LCH9,30.0
A0A1Y0IHJ1,27.0
A0A840ALK5,25.0
A0A557P218,28.0
G7ZFB3,30.0
A0A177E666,65.0
A0A6S6M2Q5,30.0
H8FP57,26.0
A0A1R0KWZ8,28.0
Q9WYZ6,75.0
E4U5E9,60.0
A0A1H4YH51,29.0
A0A6A9QCR3,88.0
A0A1H4GBS7,13.0
B0KD32,65.0
A0A1I7I9J8,28.0
A0A1H7DTZ5,30.0
C1DTV0,68.0
D9S014,67.0
C1DWH4,68.0
A0A1H6U4B8,30.0
F2NKJ0,70.0
A0A1H2MHM9,30.0
F2NNT0,70.0
Q9X095,75.0
A0A1W1XFA4,60.0
A0A090I8K5,13.5
B0KCJ6,65.0
E4SBW2,70.0
A0A177E8F5,65.0
A0A3B0MWR2,20.0
F2NPM1,70.0
A0A1H3EJK3,28.0
A0A6H9YU13,28.0
Q9WYN2,75.0
A0A1L8CVN0,65.0
A0A6H9YN64,28.0
A0A561TET6,28.0
A0A542X973,28.0
D5QD66,27.799999237060547
A0A4R2NNU9,25.0
A0A1L8CWY2,65.0
A0A064CKG5,29.0
A0A177E6B5,65.0
Q9X226,75.0
E4SDY5,70.0
C1DXE7,68.0
A0A1H8K156,28.0
A0A4Q1UGF2,28.0
D9S3E2,67.0
Q9X0U2,75.0
A0A368ZDP4,25.0
A0A1W1XQY5,60.0
Q9X237,75.0
A0A1L8CTE5,65.0
E4U5C7,60.0
A0A177E6A9,65.0
A0A0D2JGJ3,30.0
A0A6A9QD63,88.0
A0A8I1FU93,27.0
D3FC23,29.0
A0A859QJZ0,28.0
A0A6A9QHX1,88.0
A0A1G6IUM7,30.0
A0A0P9GNL0,30.0
A0A421DMC2,28.0
A0A6A9QE93,88.0
A0A317NZP3,29.0
A0A7X0IBA7,28.0
D9S334,67.0
A0A0M0LM59,30.0
A0A919W2S2,28.0
C7P6S2,85.0
A0A7W8Z5L6,28.0
A0A177E4T1,65.0
A0A1M4S948,60.0
A0A562IDE3,27.0
A0A1W1WYT4,60.0
A0A1L8CYI6,65.0
A0A0A8DWU2,28.0
A0A1W2BZC7,28.0
A0A1M5AE01,60.0
A0A3D9BBB2,29.0
A0A177E8C3,65.0
A0A919JIV9,27.0
A0A0F5V803,28.0
A0A1W1WZ65,60.0
A0A199XQ93,24.0
A0A7W7MZ49,29.0
F2NKP1,70.0
A0A1W1XQJ7,60.0
A0A1W1X4Q2,60.0
D9S3A6,67.0
C1DXU7,68.0
C7P5V8,85.0
E4SHR2,70.0
A0A1M7BF21,30.0
D9S2Q7,67.0
A0A1G6ING9,28.0
A0A085FYU4,30.0
F2KR51,75.0
V8QPS8,28.0
A0A1X1CQD7,28.0
A0A840ZEM0,27.5
A0A2V4WKC9,30.0
F2NPU5,70.0
A0A1H3JF40,28.0
F2KTB7,75.0
A0A1W1XHP4,60.0
C1DUZ9,68.0
C7P724,85.0
V4QHH8,30.0
B0KAU5,65.0
A0A177E4Q1,65.0
E4U908,60.0
E4U9F4,60.0
F2NPG7,70.0
A0A1N6TY70,28.0
A0A542XFR4,28.0
A0A8E2WEU1,26.5
E4SFP9,70.0
A0A1I2F4K3,30.0
A0A1C5ACY6,28.0
C1DTG7,68.0
A0A975FDP8,26.0
A0A090TDA6,28.0
A0A127K8K9,28.0
A0A5D4SMQ4,30.0
A0A6A9QGW5,88.0
C7P8S1,85.0
A0A1M4XKU0,60.0
A0A6A9Q980,88.0
A0A7D4HXD0,30.0
A0A807AND1,27.0
A0A1H9D6L1,28.0
C7P747,85.0
A0A1H2MXS2,30.0
A0A1L8CUK6,65.0
C1DWB4,68.0
F2NMN6,70.0
A0A1W1XN80,60.0
F2F8N3,28.5
A0A1M4WQ75,60.0
A0A1C5I8V5,28.0
A0A4V2SLI4,25.0
A0A918JWY4,28.0
A0A807AW37,27.0
A0A3N9UE71,30.0
A0A1H2N6G0,30.0
D9S059,67.0
A0A7W9SR17,30.0
A0A0D0PIW9,30.0
B0K887,65.0
A0A3A5JW31,29.0
F2NNZ4,70.0
A0A6A9QGD0,88.0
A0A7X0KR19,28.0
A0A1W1XH65,60.0
F2NRB2,70.0
A0A177E8J6,65.0
A0A839Z3L1,29.0
A0A1W1XUV5,60.0
A0A4S3PND4,30.0
A0A4Y4C6A1,28.600000381469727
A0A316IGW8,28.0
A0A7W4US26,29.5
A0A095VY09,28.0
A0A839ZFJ2,29.0
A0A250VFR1,26.66666603088379
A0A1I3JYI7,25.0
A0A1R1EST0,30.0
A0A1W1X1Y5,60.0
A0A401IXL7,29.0
A0A557NT27,28.0
A0A840ZDS7,27.5
A0A7D4E242,30.0
A0A1G8C485,75.0
F2KQ83,75.0
A0A1L8CU17,65.0
I3Z362,28.0
F2NKM1,70.0
A0A1I4A062,17.0
A0A1H8TJR9,28.0
C1DU94,68.0
A0A8I1FUC3,27.0
A0A1H6CF32,20.0
A0A1H9E5I1,28.0
A0A3N1XRL0,30.0
A0A1M5D5X8,25.0
A0A3N9UB84,30.0
A0A7W9AHI9,28.0
A0A177E7D0,65.0
F2NMM0,70.0
A0A7K3RS04,27.0
D9S119,67.0
A0A7I9ZFR3,28.0
A0A1H6BXN1,30.0
A0A3N2BEP9,30.0
A0A4V3DQH3,27.0
A0A1W1XX29,60.0
A0A2T3LBG9,25.5
D9S277,67.0
A0A1H2KVS5,28.0
A0A3N1XGA9,30.0
A0A1E5Q2U7,27.0
D9RZU7,67.0
A0A3D9BK83,29.0
A0A7W7STG9,28.0
A0A286PG75,26.66666603088379
A0A1L8CWA7,65.0
A0A502FJY0,23.0
A0A542EQ93,29.0
Q82UX8,28.0
A0A101PQX3,27.0
A0A1W1XV04,60.0
A0A6G4AGU0,28.0
A0A1X3FT95,30.0
A0A6G4APG1,28.0
A0A4Y9A784,30.0
F2NQQ3,70.0
A0A7W7J153,30.0
A0A561T5U9,28.0
E4U9M5,60.0
C1DTR7,68.0
A0A177E5Z6,65.0
C7P8H4,85.0
F2KQI4,75.0
A0A1W1XHX5,60.0
A0A6A9QBP2,88.0
A0A1H8J6I4,28.0
A0A7K3S0C4,27.0
A0A1G8FC41,75.0
A0A6A9QGC0,88.0
A0A7X5V257,30.0
A0A1M4XAF8,60.0
K6XK80,28.0
I4APH0,29.0
A0A177E7L4,65.0
Q9X0G9,75.0
F7ZDR5,21.0
A0A252C783,30.0
E4U9L4,60.0
C7P9P4,85.0
A0A4R1I1Q5,28.0
A0A1G6Y265,29.0
A0A1G7XBQ2,25.0
A0A502FAX2,23.0
A0A1R0KTE8,28.0
A0A1Y0I4A9,27.0
A0A387FZ21,28.0
A0A1X7EA86,28.0
A0A1M5DK86,25.0
A0A512MB37,30.0
A0A1M4UPL2,60.0
E4UA75,60.0
A0A149UTT1,27.0
A0A1M5B7J4,60.0
A0A7X5UVU2,30.0
A0A3M9XND2,26.0
A0A256GNP1,28.0
A0A6G6JME3,28.0
A0A561WPA3,28.0
F2NKV8,70.0
A0A0A0N6K0,27.0
F2RA35,27.0
A0A511TEQ0,28.0
F2KMV5,75.0
K6X2B1,28.0
A0A1L8CU20,65.0
F2NKR3,70.0
D9RYX8,67.0
B0K7G2,65.0
A0A7W9SUH3,30.0
A0A7W4PFH9,28.0
A0A4Q7V5I5,28.0
C1DW66,68.0
A0A1G6JS68,28.0
E4U5F1,60.0
A0A0A2M8F3,29.0
A0A250VJL6,26.66666603088379
F2KSE8,75.0
A0A1X7HSV6,30.0
A0A0U3MRT9,28.0
A0A6A9Q915,88.0
A0A6G4WB28,30.0
A0A0G2ZQP3,28.0
A0A4R7UQ71,28.0
A0A0S2G858,30.0
A0A2S8RWB5,29.0
A0A1I0DHW9,28.0
A0A265DYM3,29.0
A0A7U9L447,26.5
A0A1M7E3M0,28.0
A0A1L8CU59,65.0
C1DUR6,68.0
D9S3P6,67.0
A0A250VGK6,26.66666603088379
A0A4R2NUB5,25.0
A0A1L8CTI9,65.0
F2KNZ5,75.0
A0A919W9Y6,28.0
A0A1H6TJ20,30.0
A0A841DT55,29.0
A0A6A9QAL9,88.0
A0A256GQA2,28.0
A0A511USG7,29.0
C7P966,85.0
S5TIK5,25.0
A0A1M5B204,60.0
A0A4Y9AA07,30.0
A0A1N7DCG5,28.0
A0A512L5V1,30.0
A0A1S1XFP7,27.0
A0A0P9LU77,27.0
